Field value ID,Title,Field,Color code,Image,Weight
,AliceBlue ,Color,#F0F8FF,,
,AntiqueWhite ,Color,#FAEBD7,,
,Aqua ,Color,#00FFFF,,
,Aquamarine ,Color,#7FFFD4,,
,Azure ,Color,#F0FFFF,,
,Beige ,Color,#F5F5DC,,
,Bisque ,Color,#FFE4C4,,
,Black ,Color,#000000,,
,BlanchedAlmond ,Color,#FFEBCD,,
,Blue ,Color,#0000FF,,
,BlueViolet ,Color,#8A2BE2,,
,Brown ,Color,#A52A2A,,
,BurlyWood ,Color,#DEB887,,
,CadetBlue ,Color,#5F9EA0,,
,Chartreuse ,Color,#7FFF00,,
,Chocolate ,Color,#D2691E,,
,Coral ,Color,#FF7F50,,
,CornflowerBlue ,Color,#6495ED,,
,Cornsilk ,Color,#FFF8DC,,
,Crimson ,Color,#DC143C,,
,Cyan ,Color,#00FFFF,,
,DarkBlue ,Color,#00008B,,
,DarkCyan ,Color,#008B8B,,
,DarkGoldenRod ,Color,#B8860B,,
,DarkGray ,Color,#A9A9A9,,
,DarkGrey ,Color,#A9A9A9,,
,DarkGreen ,Color,#006400,,
,DarkKhaki ,Color,#BDB76B,,
,DarkMagenta ,Color,#8B008B,,
,DarkOliveGreen ,Color,#556B2F,,
,DarkOrange ,Color,#FF8C00,,
,DarkOrchid ,Color,#9932CC,,
,DarkRed ,Color,#8B0000,,
,DarkSalmon ,Color,#E9967A,,
,DarkSeaGreen ,Color,#8FBC8F,,
,DarkSlateBlue ,Color,#483D8B,,
,DarkSlateGray ,Color,#2F4F4F,,
,DarkSlateGrey ,Color,#2F4F4F,,
,DarkTurquoise ,Color,#00CED1,,
,DarkViolet ,Color,#9400D3,,
,DeepPink ,Color,#FF1493,,
,DeepSkyBlue ,Color,#00BFFF,,
,DimGray ,Color,#696969,,
,DimGrey ,Color,#696969,,
,DodgerBlue ,Color,#1E90FF,,
,FireBrick ,Color,#B22222,,
,FloralWhite ,Color,#FFFAF0,,
,ForestGreen ,Color,#228B22,,
,Fuchsia ,Color,#FF00FF,,
,Gainsboro ,Color,#DCDCDC,,
,GhostWhite ,Color,#F8F8FF,,
,Gold ,Color,#FFD700,,
,GoldenRod ,Color,#DAA520,,
,Gray ,Color,#808080,,
,Grey ,Color,#808080,,
,Green ,Color,#008000,,
,GreenYellow ,Color,#ADFF2F,,
,HoneyDew ,Color,#F0FFF0,,
,HotPink ,Color,#FF69B4,,
,IndianRed  ,Color,#CD5C5C,,
,Indigo  ,Color,#4B0082,,
,Ivory ,Color,#FFFFF0,,
,Khaki ,Color,#F0E68C,,
,Lavender ,Color,#E6E6FA,,
,LavenderBlush ,Color,#FFF0F5,,
,LawnGreen ,Color,#7CFC00,,
,LemonChiffon ,Color,#FFFACD,,
,LightBlue ,Color,#ADD8E6,,
,LightCoral ,Color,#F08080,,
,LightCyan ,Color,#E0FFFF,,
,LightGoldenRodYellow ,Color,#FAFAD2,,
,LightGray ,Color,#D3D3D3,,
,LightGrey ,Color,#D3D3D3,,
,LightGreen ,Color,#90EE90,,
,LightPink ,Color,#FFB6C1,,
,LightSalmon ,Color,#FFA07A,,
,LightSeaGreen ,Color,#20B2AA,,
,LightSkyBlue ,Color,#87CEFA,,
,LightSlateGray ,Color,#778899,,
,LightSlateGrey ,Color,#778899,,
,LightSteelBlue ,Color,#B0C4DE,,
,LightYellow ,Color,#FFFFE0,,
,Lime ,Color,#00FF00,,
,LimeGreen ,Color,#32CD32,,
,Linen ,Color,#FAF0E6,,
,Magenta ,Color,#FF00FF,,
,Maroon ,Color,#800000,,
,MediumAquaMarine ,Color,#66CDAA,,
,MediumBlue ,Color,#0000CD,,
,MediumOrchid ,Color,#BA55D3,,
,MediumPurple ,Color,#9370DB,,
,MediumSeaGreen ,Color,#3CB371,,
,MediumSlateBlue ,Color,#7B68EE,,
,MediumSpringGreen ,Color,#00FA9A,,
,MediumTurquoise ,Color,#48D1CC,,
,MediumVioletRed ,Color,#C71585,,
,MidnightBlue ,Color,#191970,,
,MintCream ,Color,#F5FFFA,,
,MistyRose ,Color,#FFE4E1,,
,Moccasin ,Color,#FFE4B5,,
,NavajoWhite ,Color,#FFDEAD,,
,Navy ,Color,#000080,,
,OldLace ,Color,#FDF5E6,,
,Olive ,Color,#808000,,
,OliveDrab ,Color,#6B8E23,,
,Orange ,Color,#FFA500,,
,OrangeRed ,Color,#FF4500,,
,Orchid ,Color,#DA70D6,,
,PaleGoldenRod ,Color,#EEE8AA,,
,PaleGreen ,Color,#98FB98,,
,PaleTurquoise ,Color,#AFEEEE,,
,PaleVioletRed ,Color,#DB7093,,
,PapayaWhip ,Color,#FFEFD5,,
,PeachPuff ,Color,#FFDAB9,,
,Peru ,Color,#CD853F,,
,Pink ,Color,#FFC0CB,,
,Plum ,Color,#DDA0DD,,
,PowderBlue ,Color,#B0E0E6,,
,Purple ,Color,#800080,,
,RebeccaPurple ,Color,#663399,,
,Red ,Color,#FF0000,,
,RosyBrown ,Color,#BC8F8F,,
,RoyalBlue ,Color,#4169E1,,
,SaddleBrown ,Color,#8B4513,,
,Salmon ,Color,#FA8072,,
,SandyBrown ,Color,#F4A460,,
,SeaGreen ,Color,#2E8B57,,
,SeaShell ,Color,#FFF5EE,,
,Sienna ,Color,#A0522D,,
,Silver ,Color,#C0C0C0,,
,SkyBlue ,Color,#87CEEB,,
,SlateBlue ,Color,#6A5ACD,,
,SlateGray ,Color,#708090,,
,SlateGrey ,Color,#708090,,
,Snow ,Color,#FFFAFA,,
,SpringGreen ,Color,#00FF7F,,
,SteelBlue ,Color,#4682B4,,
,Tan ,Color,#D2B48C,,
,Teal ,Color,#008080,,
,Thistle ,Color,#D8BFD8,,
,Tomato ,Color,#FF6347,,
,Turquoise ,Color,#40E0D0,,
,Violet ,Color,#EE82EE,,
,Wheat ,Color,#F5DEB3,,
,White ,Color,#FFFFFF,,
,WhiteSmoke ,Color,#F5F5F5,,
,Yellow ,Color,#FFFF00,,
,YellowGreen ,Color,#9ACD32,,
