"Displays all available commands","Отображает все доступные команды"
"Performs full system installation. Simple step-by-step wizard, has no options","Выполняет установку всей системы. Простой пошаговый мастер, не имеет параметров"
"Allows to perform full system installation at once","Позволяет выполнять установку системы одним махом"
"Optional. ID of module to be used for this installation process","Необязательно. ID модуля, который будет использован для этого процесса установки"
"Required. Database name","Обязательно. Имя базы данных"
"Optional. Database user. Defaults to ""root""","Необязательно. Пользователь базы данных. По умолчанию «root»"
"Optional. Database host. Defaults to ""localhost""","Необязательно. Сервер (хост) базы данных. По умолчанию ""localhost"""
"Optional. Database password. Defaults to empty string","Необязательно. Пароль базы данных. По умолчанию пустая строка"
"Optional. Database type, e.g ""mysql"" or ""sqlite"". Defaults to ""mysql""","Необязательно. Тип базы данных, например ""mysql"" или ""sqlite"". По умолчанию ""mysql"""
"Optional. Database port. Defaults to ""3306""","Необязательно. Порт базы данных. По умолчанию «3306»"
"Required. Admin e-mail","Обязательно. E-mail для супер-админа"
"Required. Admin password","Обязательно. Пароль администратора"
"Optional. Name of the store. Defaults to ""GPL Cart""","Необязательно. Название магазина. По умолчанию «GPL cart»"
"Optional. Subfolder name. Defaults to empty string, i.e domain root folder","Необязательно. Название каталога установки. По умолчанию пустая строка, т.е корневая директория домена"
"Optional. Timezone of the store. Defaults to the current timezone","Необязательно. Часовая зона магазина. По умолчанию текущий часовой пояс сервера"
"Optional. Domain name e.g ""example.com"" without scheme prefix and slashes. Defaults to the current hostname/IP","Необязательно. Домен, например ""example.com"" без http:// и слэшей. По умолчанию текущий хост/IP"
Product,Товар
File,Файл
Page,Страница
"System URL route (global)","Системный URL маршрут (глобально)"
"Parameters: system route pattern. Only = and != operators allowed","Параметры: паттерн системного маршрута. Допускаются только операторы = и !="
"URL path (global)","Путь URL (глобально)"
"Parameters: path with regexp pattern. Only = and != operators allowed. Do not use trailing slashes. Example: account/(\d+)","Параметры: путь с регулярным выражением. Допускаются только операторы = и !=. Не используйте слэши на концах. Пример: account/(\d+)"
"User ID (global)","ID пользователя (глобально)"
"Parameters: list of ID, separated by comma","Параметры: список ID, разделённых запятыми"
"User role ID (global)","ID роли пользователя (глобально)"
"Current date (global)","Текущая дата (глобально)"
"Parameters: One value in time format. See http://php.net/manual/en/datetime.formats.php","Параметры: Одно значение даты/времени в виде текстового представления. См. http://php.net/manual/en/datetime.formats.php"
"Number of times a price rule code (coupon) has been used (checkout)","Количество использований кода правила цены (оформление заказа)"
"Parameters: One numeric value","Параметры: Одно числовое значение"
"Shipping method (checkout)","Способ доставки (оформление заказа)"
"Payment method (checkout)","Способ оплаты (чекаут)"
"Shipping country code (checkout)","Код страны доставки (оформление заказа)"
"Shipping state ID (checkout)","ID области доставки (оформление заказа)"
"Shipping address zone ID (checkout)","ID зоны адреса доставки (оформление заказа)"
"Payment country code (checkout)","Код страны платёжного адреса (оформление заказа)"
"Payment state ID (checkout)","ID области платёжного адреса (оформление заказа)"
"Payment address zone ID (checkout)","ID зоны платёжного адреса (оформление заказа)"
"Cart total (checkout)","Итоговая сумма корзина (оформление заказа)"
"Parameters: one value in format ""price|currency"". If only price specified, default currency will be used","Параметры: одно значение в формате ""цена|код валюты"". Если указана только цена, будет использована валюта по умолчанию"
"Cart contains product ID (checkout)","Корзина содержит ID товара (оформление заказа)"
"Cart contains SKU (checkout)","Корзина содержит артикул товара (оформление заказа)"
"Parameters: list of SKU, separated by comma","Параметры: список артикулов, разделённых запятыми"
"Product ID","ID товара"
"Product category ID","ID категории товара"
