"Displays all available commands","Відображає всі доступні команди"
"Performs full system installation. Simple step-by-step wizard, has no options","Виконує повне встановлення системи. Простий покроковий майстер, не має параметрів"
"Allows to perform full system installation at once","Дозволяє виконувати повне встановлення системи одразу"
"Optional. ID of module to be used for this installation process","Необов'язково. ID модуля, який буде використовуватися для цієї установки"
"Required. Database name","Обов'язково. Назва бази даних"
"Optional. Database user. Defaults to ""root""","Необов'язково. Користувач бази даних. За замовчуванням ""root"""
"Optional. Database host. Defaults to ""localhost""","Необов'язково. Сервер бази даних. За замовчуванням ""localhost"""
"Optional. Database password. Defaults to empty string","Необов'язково. Пароль бази даних. За замовчуванням порожня строка"
"Optional. Database type, e.g ""mysql"" or ""sqlite"". Defaults to ""mysql""","Необов'язково. Тип бази даних, наприклад, ""mysql"" або ""sqlite"". За замовчуванням ""mysql"""
"Optional. Database port. Defaults to ""3306""","Необов'язково. Порт бази даних. За замовчуванням ""3306"""
"Required. Admin e-mail","Обов'язково. Електрона пошта для адміністратора"
"Required. Admin password","Обов'язково. Пароль адміністратора"
"Optional. Name of the store. Defaults to ""GPL Cart""","Необов'язково. Назва магазину. За замовчуванням ""GPLCart"""
"Optional. Subfolder name. Defaults to empty string, i.e domain root folder","Необов'язково. Назва директорії для встановлення. За замовчуванням порожній рядок, тобто коренева директорія домена"
"Optional. Timezone of the store. Defaults to the current timezone","Необов'язково. Часовий пояс магазину. За замовчуванням поточний часовий пояс сервера"
"Optional. Domain name e.g ""example.com"" without scheme prefix and slashes. Defaults to the current hostname/IP","Необов'язково. Назва домену, наприклад, ""example.com"" без схеми і косих рисок на кінці. За замовчуванням поточний хост/IP"
Product,Товар
File,Файл
Page,Сторінка
"System URL route (global)","Системний URL маршрут (глобально)"
"Parameters: system route pattern. Only = and != operators allowed","Параметри: шаблон системного маршруту. Дозволені тільки оператори = та! ="
"URL path (global)","Шлях URL (глобально)"
"Parameters: path with regexp pattern. Only = and != operators allowed. Do not use trailing slashes. Example: account/(\d+)","Параметри: шлях з regexp шаблоном. Дозволені тільки оператори = та! =. Не використовуйте косу риску. Приклад: account/(\d+)"
"User ID (global)","Ідентифікатор користувача (глобально)"
"Parameters: list of ID, separated by comma","Параметри: список ID, розділені комами"
"User role ID (global)","ID ролі користувача (глобально)"
"Current date (global)","Поточна дата (глобально)"
"Parameters: One value in time format. See http://php.net/manual/en/datetime.formats.php","Параметри: Одне значення в формат часу. Див. http://php.net/manual/en/datetime.formats.php"
"Number of times a price rule code (coupon) has been used (checkout)","Скільки разів код правила був використаний (чекаут)"
"Parameters: One numeric value","Параметри: Один числове значення"
"Shipping method (checkout)","Спосіб доставки (чекаут)"
"Payment method (checkout)","Спосіб оплати (чекаут)"
"Shipping country code (checkout)","Код країни доставки (чекаут)"
"Shipping state ID (checkout)","ID області адреси доставки (чекаут)"
"Shipping address zone ID (checkout)","ID зони адреси доставки (чекаут)"
"Payment country code (checkout)","Код країни оплати (чекаут)"
"Payment state ID (checkout)","ID області адреси оплати (чекаут)"
"Payment address zone ID (checkout)","ID зони адреси оплати (чекаут)"
"Cart total (checkout)","Загальна сума кошика (чекаут)"
"Parameters: one value in format ""price|currency"". If only price specified, default currency will be used","Параметри: одне значення у форматі «Ціна|валюта"". Якщо вказано тільки ціну, буде використовуватися валюта за замовчуванням"
"Cart contains product ID (checkout)","Кошик містить ID товару (чекаут)"
"Cart contains SKU (checkout)","Кошик містить артикул товару (чекаут)"
"Parameters: list of SKU, separated by comma","Параметри: список артикулів, розділені комами"
"Product ID","ID товару"
"Product category ID","ID категорії товару"
"Product brand category ID","ID категорії торгівельної марки товару"
Afghanistan,Афганістан
"Aland Islands","Аландські острови"
Albania,Албанія
Algeria,Алжир
"American Samoa","Американське Самоа"
Andorra,Андора
Angola,Ангола
Anguilla,Ангілья
Antarctica,Антартика
"Antigua and Barbuda","Антигуа і Барбуда"
Argentina,Аргентина
Armenia,Вірменія
Aruba,Аруба
Australia,Австралія
Austria,Австрія
Azerbaijan,Азербайджан
Bahamas,Багами
Bahrain,Бахрейн
Bangladesh,Бангладеш
Barbados,Барбадос
Belarus,Білорусь
Belgium,Бельгія
Belize,Беліз
Benin,Бенін
Bermuda,"Бермудські острови"
Bhutan,Бутан
Bolivia,Болівія
"Bonaire, Saint Eustatius and Saba","Бонайре, Сінт-Естатіус і Саба"
"Bosnia and Herzegovina","Боснія та Герцеговина"
Botswana,Ботсвана
"Bouvet Island","Острів Буве"
Brazil,Бразилія
"British Indian Ocean Territory","Британська територія в Індійському океані"
"British Virgin Islands","Британські Віргінські острови"
Brunei,Бруней
Bulgaria,Болгарія
"Burkina Faso",Буркіна-Фасо
Burundi,Бурунді
Cambodia,Камбоджа
Cameroon,Камерун
Canada,Канада
"Cape Verde",Кабо-Верде
"Cayman Islands","Кайманові острови"
"Central African Republic","Центрально-Африканська Республіка"
Chad,Чад
Chile,Чилі
China,Китай
"Christmas Island","Острів Різдва"
"Cocos Islands","Кокосові острови"
Colombia,Колумбія
Comoros,"Коморські острови"
"Cook Islands","Острови Кука"
"Costa Rica",Коста-Ріка
Croatia,Хорватія
Cuba,Куба
Curacao,Кюрасао
Cyprus,Кіпр
"Czech Republic",Чехія
"Democratic Republic of the Congo",Конго
Denmark,Данія
Djibouti,Джибуті
Dominica,Домініка
"Dominican Republic","Домініканська республіка"
"East Timor","Східний Тимор"
Ecuador,Еквадор
Egypt,Єгипет
"El Salvador",Ель-Сальвадор
"Equatorial Guinea","Екваторіальна Гвінея"
Eritrea,Еритрея
Estonia,Естонія
Ethiopia,Ефіопія
"Falkland Islands","Фолклендські острови"
"Faroe Islands","Фарерські острови"
Fiji,Фіджі
Finland,Фінляндія
France,Франція
"French Guiana","Французька Гвіана"
"French Polynesia","Французька Полінезія"
"French Southern Territories","Французькі Південні і Антарктичні території"
Gabon,Габон
Gambia,Гамбія
Georgia,Грузія
Germany,Німеччина
Ghana,Гана
Gibraltar,Гібралтар
Greece,Греція
Greenland,Гренландія
Grenada,Гренада
Guadeloupe,Гваделупа
Guam,Гуам
Guatemala,Гватемала
